"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"CC",0.683708677928197,0.671558555373145,0.746811044307906,0.2,"MCAR",1,"CC"
"Mean",0.645182810484584,0.645763189363007,0.720560065945958,0.2,"MCAR",1,"Mean"
"MICE",0.629585746415446,0.537773888574321,0.710199389304009,0.2,"MCAR",1,"MICE"
"mForest",0.651513959677298,0.649996718316601,0.71339089064823,0.2,"MCAR",1,"mForest"
"CC1",0.686852287822065,0.68438831491129,0.765502489107271,0.2,"MCAR",2,"CC"
"Mean1",0.656801651787951,0.646089264933811,0.731815973204248,0.2,"MCAR",2,"Mean"
"MICE1",0.652684453170026,0.650288621042364,0.7120228688379,0.2,"MCAR",2,"MICE"
"mForest1",0.653443559367989,0.647789590896033,0.724366990496405,0.2,"MCAR",2,"mForest"
"CC2",0.667345440491118,0.667963256388655,0.748247403759594,0.2,"MCAR",3,"CC"
"Mean2",0.656405795020548,0.644722035123224,0.725324293712746,0.2,"MCAR",3,"Mean"
"MICE2",0.64801484515111,0.588145066863021,0.717046877793659,0.2,"MCAR",3,"MICE"
"mForest2",0.643968456151839,0.58619140996331,0.72172904880322,0.2,"MCAR",3,"mForest"
"CC3",0.713898322852884,0.709719390067418,0.752817124525935,0.2,"MCAR",4,"CC"
"Mean3",0.65504516395688,0.657314702707742,0.721843097578386,0.2,"MCAR",4,"Mean"
"MICE3",0.654666174432383,0.594891369426919,0.720803723841654,0.2,"MCAR",4,"MICE"
"mForest3",0.653933801506846,0.657420622419915,0.707025785004616,0.2,"MCAR",4,"mForest"
"CC4",0.672052189359312,0.537113440380612,0.75476034164299,0.2,"MCAR",5,"CC"
"Mean4",0.655460107321958,0.60737171101224,0.733875318637873,0.2,"MCAR",5,"Mean"
"MICE4",0.655709799325113,0.536846657202069,0.739526453747234,0.2,"MCAR",5,"MICE"
"mForest4",0.658153628001554,0.64676628634706,0.732632673214602,0.2,"MCAR",5,"mForest"
"CC5",0.701579964365082,0.551491681009753,0.731197727334228,0.5,"MCAR",1,"CC"
"Mean5",0.607509315200065,0.5,0.694305309995522,0.5,"MCAR",1,"Mean"
"MICE5",0.575683218509606,0.5,0.639563808175596,0.5,"MCAR",1,"MICE"
"mForest5",0.612935904783852,0.542606240604261,0.690182006647981,0.5,"MCAR",1,"mForest"
"CC6",0.692003407555673,0.496445002091175,0.692320329174656,0.5,"MCAR",2,"CC"
"Mean6",0.582660142883379,0.512948292018059,0.683521932844873,0.5,"MCAR",2,"Mean"
"MICE6",0.562588148702901,0.5,0.693583049097114,0.5,"MCAR",2,"MICE"
"mForest6",0.607327119909973,0.51975466394071,0.6786718522717,0.5,"MCAR",2,"mForest"
"CC7",0.673330105585722,0.538630580615313,0.765439885505547,0.5,"MCAR",3,"CC"
"Mean7",0.594533373008833,0.538815732851364,0.676197732564311,0.5,"MCAR",3,"Mean"
"MICE7",0.57407641334468,0.5,0.683291205057901,0.5,"MCAR",3,"MICE"
"mForest7",0.592934357584142,0.5,0.694788670459296,0.5,"MCAR",3,"mForest"
"CC8",0.655573587453518,0.5,0.713771583463091,0.5,"MCAR",4,"CC"
"Mean8",0.579940082695965,0.5,0.668874881548298,0.5,"MCAR",4,"Mean"
"MICE8",0.533553781826386,0.5,0.647142372827743,0.5,"MCAR",4,"MICE"
"mForest8",0.59472723850361,0.52747979290051,0.663776727247601,0.5,"MCAR",4,"mForest"
"CC9",0.639052425142061,0.5,0.662676535037853,0.5,"MCAR",5,"CC"
"Mean9",0.597745318099705,0.5,0.704664552486219,0.5,"MCAR",5,"Mean"
"MICE9",0.557754906356255,0.5,0.686112465730731,0.5,"MCAR",5,"MICE"
"mForest9",0.613871302634127,0.518911896061713,0.693684626894752,0.5,"MCAR",5,"mForest"
"CC10",0.690678490202166,0.5,0.638047791417083,0.7,"MCAR",1,"CC"
"Mean10",0.579127662441362,0.5,0.700627278145513,0.7,"MCAR",1,"Mean"
"MICE10",0.563507148924309,0.5,0.659667390292573,0.7,"MCAR",1,"MICE"
"mForest10",0.568285560823797,0.5,0.692128025243839,0.7,"MCAR",1,"mForest"
"CC11",0.530640688535425,0.5,0.732633590528327,0.7,"MCAR",2,"CC"
"Mean11",0.554082910109089,0.5,0.671985687763785,0.7,"MCAR",2,"Mean"
"MICE11",0.572796585664787,0.5,0.687844402090799,0.7,"MCAR",2,"MICE"
"mForest11",0.531881517386905,0.5,0.666858513566662,0.7,"MCAR",2,"mForest"
"CC12",0.600632555303299,0.503401360544218,0.604955438109321,0.7,"MCAR",3,"CC"
"Mean12",0.545574566380397,0.5,0.645948803325044,0.7,"MCAR",3,"Mean"
"MICE12",0.547887904242735,0.5,0.670258636448423,0.7,"MCAR",3,"MICE"
"mForest12",0.556374594059909,0.5,0.654084852965325,0.7,"MCAR",3,"mForest"
"CC13",0.336761317430198,0.401785714285714,0.499311014728472,0.7,"MCAR",4,"CC"
"Mean13",0.553594242607419,0.5,0.667341291849838,0.7,"MCAR",4,"Mean"
"MICE13",0.569975417339713,0.5,0.668848202899173,0.7,"MCAR",4,"MICE"
"mForest13",0.555873877223435,0.508556089922827,0.648907602084717,0.7,"MCAR",4,"mForest"
"CC14",0.805455260017235,0.666436197254703,0.788534939984929,0.7,"MCAR",5,"CC"
"Mean14",0.608988141170801,0.524874794404095,0.673270194620624,0.7,"MCAR",5,"Mean"
"MICE14",0.570999377153825,0.5,0.65125527076584,0.7,"MCAR",5,"MICE"
"mForest14",0.599187649582186,0.528284452329471,0.664226218571736,0.7,"MCAR",5,"mForest"
"CC15",0.660447190354845,0.540257048092869,0.728460200571832,0.2,"MAR",1,"CC"
"Mean15",0.626452914159357,0.569603303162159,0.7122101805172,0.2,"MAR",1,"Mean"
"MICE15",0.619813103011547,0.529371804497837,0.697967640346111,0.2,"MAR",1,"MICE"
"mForest15",0.623357301288471,0.531642175265472,0.707287936567111,0.2,"MAR",1,"mForest"
"CC16",0.662996414450486,0.603057353938768,0.726431593497439,0.2,"MAR",2,"CC"
"Mean16",0.638008379767607,0.539950097033546,0.708003906234756,0.2,"MAR",2,"Mean"
"MICE16",0.627931146059585,0.542003348620514,0.709089193135679,0.2,"MAR",2,"MICE"
"mForest16",0.638543140906423,0.584225205113148,0.707410295969143,0.2,"MAR",2,"mForest"
"CC17",0.678008329880219,0.6148960168867,0.725727985323162,0.2,"MAR",3,"CC"
"Mean17",0.64839810483013,0.58044010361444,0.717232147030881,0.2,"MAR",3,"Mean"
"MICE17",0.642213185974585,0.571452164023557,0.711809364870765,0.2,"MAR",3,"MICE"
"mForest17",0.652235426241206,0.646524444897478,0.723904203157976,0.2,"MAR",3,"mForest"
"CC18",0.660636853505997,0.54190859014441,0.711277800373502,0.2,"MAR",4,"CC"
"Mean18",0.619312744173342,0.530489968894178,0.714142370979939,0.2,"MAR",4,"Mean"
"MICE18",0.600832873810977,0.5,0.690700762805999,0.2,"MAR",4,"MICE"
