"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"CC",0.83693805636224,0.826836847418944,0.83693805636224,0.2,"MCAR",1,"CC"
"Mean",0.806474466527047,0.790421402852647,0.806474466527047,0.2,"MCAR",1,"Mean"
"MICE",0.80603342523608,0.791516775368333,0.80603342523608,0.2,"MCAR",1,"MICE"
"mForest",0.80462698860761,0.790910277521698,0.80462698860761,0.2,"MCAR",1,"mForest"
"CC1",0.826262304215758,0.811242307522581,0.826262304215758,0.2,"MCAR",2,"CC"
"Mean1",0.828507402872441,0.812677882704883,0.828507402872441,0.2,"MCAR",2,"Mean"
"MICE1",0.816425767325098,0.802801490117584,0.816425767325098,0.2,"MCAR",2,"MICE"
"mForest1",0.827225475652938,0.81606258768296,0.827225475652938,0.2,"MCAR",2,"mForest"
"CC2",0.856547765556712,0.843587196522658,0.856547765556712,0.2,"MCAR",3,"CC"
"Mean2",0.830014562694587,0.81088544744323,0.830014562694587,0.2,"MCAR",3,"Mean"
"MICE2",0.810817266692513,0.7947179270181,0.810817266692513,0.2,"MCAR",3,"MICE"
"mForest2",0.829334723990251,0.812684164376142,0.829334723990251,0.2,"MCAR",3,"mForest"
"CC3",0.843939249295958,0.847118250802211,0.843939249295958,0.5,"MCAR",1,"CC"
"Mean3",0.783574553955685,0.754067945971085,0.783574553955685,0.5,"MCAR",1,"Mean"
"MICE3",0.742788513142628,0.721635081264231,0.742788513142628,0.5,"MCAR",1,"MICE"
"mForest3",0.766317997898576,0.739155630493353,0.766317997898576,0.5,"MCAR",1,"mForest"
"CC4",0.801752214322273,0.824877386429939,0.801752214322273,0.5,"MCAR",2,"CC"
"Mean4",0.763325526658701,0.747286197571547,0.763325526658701,0.5,"MCAR",2,"Mean"
"MICE4",0.738037560408441,0.721345872811199,0.738037560408441,0.5,"MCAR",2,"MICE"
"mForest4",0.751895825616306,0.727790973037216,0.751895825616306,0.5,"MCAR",2,"mForest"
"CC5",NA,NA,NA,0.5,"MCAR",3,"CC"
"Mean5",0.755834651286387,0.739153161306905,0.755834651286387,0.5,"MCAR",3,"Mean"
"MICE5",0.71333641883288,0.6888061199755,0.71333641883288,0.5,"MCAR",3,"MICE"
"mForest5",0.740750606176773,0.717917446610824,0.740750606176773,0.5,"MCAR",3,"mForest"
"CC6",NA,NA,NA,0.8,"MCAR",1,"CC"
