"","mech","impute_name","model","p","Cindex","sd","min","max"
"1","MAR","CC","CoxLasso",0.2,0.834586144841556,0.00648609995663295,0.829905373276761,0.841989857180289
"2","MAR","CC","CoxLasso",0.5,0.833714604413503,0.0127134614918803,0.822493481174852,0.847522537444006
"3","MAR","CC","CoxLasso",0.8,0.84143334779571,0.0217458331566835,0.816373962754728,0.855342052899236
"4","MAR","CC","CoxPH",0.2,0.845512862656159,0.0050814528252778,0.840833493472662,0.850918291994119
"5","MAR","CC","CoxPH",0.5,0.845907457428297,0.0133626434173283,0.833772076843719,0.860228004356276
"6","MAR","CC","CoxPH",0.8,0.850087816618252,0.0344196273461916,0.810860092479261,0.875233404531201
"7","MAR","CC","SRF",0.2,0.845512862656159,0.0050814528252778,0.840833493472662,0.850918291994119
"8","MAR","CC","SRF",0.5,0.845907457428297,0.0133626434173283,0.833772076843719,0.860228004356276
"9","MAR","CC","SRF",0.8,0.850087816618252,0.0344196273461916,0.810860092479261,0.875233404531201
"10","MAR","MICE","CoxLasso",0.2,0.789100011359408,0.00392764529308312,0.784966038877164,0.792782268842556
"11","MAR","MICE","CoxLasso",0.5,0.712527474492557,0.00401947584232216,0.708011476035027,0.715713107536847
"12","MAR","MICE","CoxLasso",0.8,0.645754648379768,0.0170909169727943,0.626431340973126,0.658888590395174
"13","MAR","MICE","CoxPH",0.2,0.802105924851876,0.00240929942808091,0.800008907527083,0.804737662016034
"14","MAR","MICE","CoxPH",0.5,0.732834561335524,0.00451976838307607,0.728990030969765,0.737813457987312
"15","MAR","MICE","CoxPH",0.8,0.671367410366853,0.00392082603610178,0.666904157463213,0.674256613387587
"16","MAR","MICE","SRF",0.2,0.802105924851876,0.00240929942808091,0.800008907527083,0.804737662016034
"17","MAR","MICE","SRF",0.5,0.732834561335524,0.00451976838307607,0.728990030969765,0.737813457987312
"18","MAR","MICE","SRF",0.8,0.671367410366853,0.00392082603610178,0.666904157463213,0.674256613387587
"19","MAR","Mean","CoxLasso",0.2,0.792490167354153,0.010071100633967,0.78163152167201,0.801524268751773
"20","MAR","Mean","CoxLasso",0.5,0.741084577065175,0.00582753416873886,0.735358866216912,0.747008858782619
"21","MAR","Mean","CoxLasso",0.8,0.683800975442573,0.00756722377185193,0.678816055548398,0.692508401668715
"22","MAR","Mean","CoxPH",0.2,0.814542639283239,0.00753999154358463,0.80618255731862,0.820828207428986
"23","MAR","Mean","CoxPH",0.5,0.762651051523204,0.00649074692588684,0.758554077145713,0.77013469246953
