"","CoxPH","CoxLasso","SRF","p","mech","n","impute_name"
"CC",0.670091689771659,0.663575659329751,0.739854067342589,0,"MCAR",1,"CC"
"Mean",0.670091689771659,0.662623705023558,0.738041359520325,0,"MCAR",1,"Mean"
"MICE",0.670091689771659,0.663003750959545,0.738780961958769,0,"MCAR",1,"MICE"
"mForest",0.670091689771659,0.606391318669867,0.737585027278899,0,"MCAR",1,"mForest"
"CC1",0.669431060484249,0.603356760423131,0.731226567250046,0,"MCAR",2,"CC"
"Mean1",0.669431060484249,0.661889489054384,0.734489229216115,0,"MCAR",2,"Mean"
"MICE1",0.669431060484249,0.661889489054384,0.733180907331508,0,"MCAR",2,"MICE"
"mForest1",0.669431060484249,0.604463294008227,0.733497610889207,0,"MCAR",2,"mForest"
"CC2",0.666324376460499,0.662924990922489,0.737472031426285,0,"MCAR",3,"CC"
"Mean2",0.666324376460499,0.662057444581771,0.739111855981739,0,"MCAR",3,"Mean"
"MICE2",0.666324376460499,0.662755238140871,0.741040226385838,0,"MCAR",3,"MICE"
"mForest2",0.666324376460499,0.5984011579501,0.739125591066898,0,"MCAR",3,"mForest"
"CC3",0.66168253418904,0.60657812548143,0.74248099632062,0,"MCAR",4,"CC"
"Mean3",0.66168253418904,0.601560771719172,0.741871493752664,0,"MCAR",4,"Mean"
"MICE3",0.66168253418904,0.662295234996008,0.741898154762527,0,"MCAR",4,"MICE"
"mForest3",0.66168253418904,0.662295234996008,0.738426476396002,0,"MCAR",4,"mForest"
"CC4",0.668696987624999,0.660230934120989,0.743156433782361,0,"MCAR",5,"CC"
"Mean4",0.668696987624999,0.661426205431203,0.74494567055981,0,"MCAR",5,"Mean"
"MICE4",0.668696987624999,0.66194197318835,0.742888504332117,0,"MCAR",5,"MICE"
"mForest4",0.668696987624999,0.66194197318835,0.740251447013125,0,"MCAR",5,"mForest"
"CC5",0.662076000742262,0.590364454950837,0.743057539527292,0,"MCAR",6,"CC"
"Mean5",0.662076000742262,0.659973222754586,0.742010142327899,0,"MCAR",6,"Mean"
"MICE5",0.662076000742262,0.590189623663029,0.743357826999405,0,"MCAR",6,"MICE"
"mForest5",0.662076000742262,0.660532682875569,0.74319643092808,0,"MCAR",6,"mForest"
"CC6",0.670475123597252,0.664597553225325,0.756056931874096,0,"MCAR",7,"CC"
"Mean6",0.670475123597252,0.665175253976336,0.755820594133093,0,"MCAR",7,"Mean"
"MICE6",0.670475123597252,0.664597553225325,0.756880644716535,0,"MCAR",7,"MICE"
"mForest6",0.670475123597252,0.609326015227219,0.757154769622446,0,"MCAR",7,"mForest"
"CC7",0.668219286455587,0.664608550788943,0.753209167051972,0,"MCAR",8,"CC"
"Mean7",0.668219286455587,0.66395415614648,0.744654664074642,0,"MCAR",8,"Mean"
"MICE7",0.668219286455587,0.66395415614648,0.747415227868305,0,"MCAR",8,"MICE"
"mForest7",0.668219286455587,0.5985768231738,0.745075224400792,0,"MCAR",8,"mForest"
