"","mech","impute_name","model","p","Cindex","sd","min","max"
"1","MAR","CC","CoxLasso",0,0.64206792060291,0.0337532043690071,0.589911112743993,0.665624540523827
"2","MAR","CC","CoxLasso",0.2,0.640457221339913,0.0269436015663113,0.593162356024575,0.662660318842267
"3","MAR","CC","CoxLasso",0.4,0.598600888080156,0.0500003981525426,0.516486180701471,0.670658067148382
"4","MAR","CC","CoxLasso",0.6,0.573423704082429,0.0384249558105026,0.5,0.619003324814352
"5","MAR","CC","CoxPH",0,0.661566878132309,0.0124577458409605,0.634650704594438,0.675211357588607
"6","MAR","CC","CoxPH",0.2,0.660391065310682,0.00986461693380596,0.646462952479726,0.676208965622008
"7","MAR","CC","CoxPH",0.4,0.664691542295751,0.0139849987128727,0.64037216173954,0.684748192823972
"8","MAR","CC","CoxPH",0.6,0.672433961231854,0.0300371886088786,0.621708461548398,0.714526647103409
"9","MAR","CC","SRF",0,0.739563924275802,0.00695729507101754,0.727694559749114,0.75205734300742
"10","MAR","CC","SRF",0.2,0.734418515779487,0.0141859631131289,0.710246859621081,0.756936746173925
"11","MAR","CC","SRF",0.4,0.727023047486443,0.0220757397411434,0.695061042471947,0.754312911838754
"12","MAR","CC","SRF",0.6,0.712468611474405,0.0149866511932105,0.689250095570509,0.743614099562006
"13","MAR","MICE","CoxLasso",0,0.647454276537724,0.02985856714497,0.587850784124539,0.665505183527683
"14","MAR","MICE","CoxLasso",0.2,0.629477391006171,0.0406239094522163,0.538807413082339,0.659978840925032
"15","MAR","MICE","CoxLasso",0.4,0.599209627601435,0.0489415070230619,0.522246609837851,0.662942389380076
"16","MAR","MICE","CoxLasso",0.6,0.575218313922806,0.0435397134194162,0.5,0.636092981140559
"17","MAR","MICE","CoxPH",0,0.66122856262497,0.0124721933441231,0.634650704594438,0.675211357588607
"18","MAR","MICE","CoxPH",0.2,0.651778595819397,0.00844259167850028,0.635826457205809,0.663948404112317
"19","MAR","MICE","CoxPH",0.4,0.649451668314747,0.00941161095829865,0.630506699565476,0.661171849059367
"20","MAR","MICE","CoxPH",0.6,0.640623145117067,0.00962017231004232,0.626445930197091,0.658735565126042
"21","MAR","MICE","SRF",0,0.739703910339102,0.00629462291915378,0.73045644866683,0.750996602299516
"22","MAR","MICE","SRF",0.2,0.729951539168146,0.00896861317524148,0.717143858815254,0.745961804954041
"23","MAR","MICE","SRF",0.4,0.716352265346743,0.0108366078610674,0.696535912807517,0.732102616010024
"24","MAR","MICE","SRF",0.6,0.706518134212943,0.00514661495093767,0.699552532092107,0.712781676081949
"25","MAR","Mean","CoxLasso",0,0.640640835883088,0.0340984788999126,0.587850784124539,0.664748787654636
"26","MAR","Mean","CoxLasso",0.2,0.627481533857515,0.0448595726066491,0.528546975732271,0.659726094910179
"27","MAR","Mean","CoxLasso",0.4,0.635689528717302,0.0275348614981988,0.581479574965334,0.654180156126432
"28","MAR","Mean","CoxLasso",0.6,0.610084300953568,0.0376594694109981,0.540703474919867,0.645389539766119
"29","MAR","Mean","CoxPH",0,0.661366253593916,0.0126521529931358,0.634650704594438,0.675211357588607
"30","MAR","Mean","CoxPH",0.2,0.655656463409716,0.00586788979299904,0.642478067466408,0.662361135497613
"31","MAR","Mean","CoxPH",0.4,0.654893994295421,0.00877454872848943,0.645979673703867,0.669167076525962
"32","MAR","Mean","CoxPH",0.6,0.651513014116445,0.00643307451997172,0.645057004117085,0.662961318154437
"33","MAR","Mean","SRF",0,0.739799655132602,0.00732074364476276,0.72878557476494,0.754440951747422
"34","MAR","Mean","SRF",0.2,0.731410452705117,0.00901253275125671,0.718002702882741,0.746814723653217
"35","MAR","Mean","SRF",0.4,0.724285411472748,0.0134654931934146,0.698556559385864,0.744026904393827
"36","MAR","Mean","SRF",0.6,0.717731955834783,0.00906083099313112,0.6980336944061,0.729107597148409
"37","MAR","mForest","CoxLasso",0,0.656748303959744,0.0187875739029076,0.603532661368482,0.665780144305336
"38","MAR","mForest","CoxLasso",0.2,0.627563607057271,0.0334608081201289,0.58404625832011,0.65809365871249
"39","MAR","mForest","CoxLasso",0.4,0.608336513068988,0.0377856204226862,0.541343259939807,0.652666506607512
"40","MAR","mForest","CoxLasso",0.6,0.603883719050506,0.0330003174394426,0.541204437400951,0.650044481205373
"41","MAR","mForest","CoxPH",0,0.661373735589109,0.0126854380691093,0.634650704594438,0.675211357588607
"42","MAR","mForest","CoxPH",0.2,0.655413015990074,0.00586868145486182,0.644839635841085,0.662692931347522
"43","MAR","mForest","CoxPH",0.4,0.653802502063285,0.00789777215835125,0.643784282950756,0.666706076974074
"44","MAR","mForest","CoxPH",0.6,0.647208238084448,0.00817322650106053,0.63005808575268,0.65865099263688
"45","MAR","mForest","SRF",0,0.739308041736582,0.00571417803744412,0.731302945676262,0.750461776272643
"46","MAR","mForest","SRF",0.2,0.730209146493731,0.00887830621277806,0.712962216391625,0.742502060562351
"47","MAR","mForest","SRF",0.4,0.72258253848409,0.015938438745131,0.69764650293719,0.742594163155373
"48","MAR","mForest","SRF",0.6,0.713811131130323,0.00794292743457603,0.696199247313229,0.726718728547415
"49","MCAR","CC","CoxLasso",0,0.644257743863348,0.0307630270534072,0.590364454950837,0.664608550788943
"50","MCAR","CC","CoxLasso",0.2,0.622814659518719,0.046072417676106,0.532102510976271,0.673075570624373
"51","MCAR","CC","CoxLasso",0.4,0.588246437857579,0.0557741278082306,0.5,0.67100407592341
"52","MCAR","CC","CoxLasso",0.6,0.526617344774799,0.0248254550481525,0.5,0.56194885361552
"53","MCAR","CC","CoxPH",0,0.66625411004499,0.00390953054938134,0.659419217977862,0.670475123597252
"54","MCAR","CC","CoxPH",0.2,0.668609201516692,0.0133957028532551,0.642479112801617,0.679831073671424
"55","MCAR","CC","CoxPH",0.4,0.654947453221918,0.0316059928807979,0.575479859807638,0.683453223272482
"56","MCAR","CC","CoxPH",0.6,0.652070917896034,0.0279743732885979,0.608744692508148,0.685074791903722
"57","MCAR","CC","SRF",0,0.743869975062977,0.00734413840344521,0.731226567250046,0.756056931874096
"58","MCAR","CC","SRF",0.2,0.741812142780218,0.0102308071938245,0.725880398145919,0.754794516657688
"59","MCAR","CC","SRF",0.4,0.737825694409845,0.0173976092409705,0.713559570295047,0.764829195026639
"60","MCAR","CC","SRF",0.6,0.726595558673294,0.0286840454525125,0.67886764467302,0.779329593343315
"61","MCAR","MICE","CoxLasso",0,0.655696742876458,0.0230326641639559,0.590189623663029,0.664597553225325
"62","MCAR","MICE","CoxLasso",0.2,0.639223496024545,0.0294914041784952,0.59589301811238,0.661457881510713
"63","MCAR","MICE","CoxLasso",0.4,0.605643252616204,0.0416400842876452,0.549151382212473,0.65010030933861
"64","MCAR","MICE","CoxLasso",0.6,0.571995955769985,0.053196161770301,0.5,0.652249206535678
"65","MCAR","MICE","CoxPH",0,0.66625411004499,0.00390953054938134,0.659419217977862,0.670475123597252
"66","MCAR","MICE","CoxPH",0.2,0.663071088071579,0.00532379290227079,0.655018566327258,0.672389427979381
